"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"204",1.38415557746858e-273,1.24322665567223,0.859,0.487,2.77440143947802e-269,"5","Zfp804a"
"205",1.48711448020151e-262,2.86138477769637,0.309,0.069,2.9807722641159e-258,"5","Stk31"
"206",4.34759718022012e-211,1.0423417840926,0.861,0.547,8.71432378803321e-207,"5","Arpp21"
"207",3.20746109868977e-184,1.4297231439919,0.558,0.25,6.42903502621378e-180,"5","Vat1l"
"208",3.10481455260164e-159,1.16911684394321,0.597,0.288,6.22329028923472e-155,"5","Hs3st4"
"209",5.98092188875406e-136,1.51282587805695,0.378,0.148,1.19881598338186e-131,"5","Lmo7"
"210",5.91078636138917e-107,1.1126290510025,0.442,0.211,1.18475801827685e-102,"5","Gfra1"
"211",3.71064574575913e-106,1.05973328049998,0.59,0.349,7.4376183327996e-102,"5","Syn2"
"212",3.45312855482412e-105,1.33618609938104,0.39,0.177,6.92145087528946e-101,"5","Serpine2"
"213",3.90394147047416e-100,1.04505225075965,0.501,0.264,7.8250602834184e-96,"5","Plcxd3"
"214",2.09914724326905e-95,1.30950545664344,0.362,0.165,4.20753073440849e-91,"5","Pde8b"
"215",2.93604786908139e-85,1.31011691075509,0.306,0.133,5.88501434878674e-81,"5","Xylt1"
"216",8.86536674189854e-81,1.38106209138151,0.267,0.11,1.77697410974614e-76,"5","Arap2"
"217",1.2572235197778e-77,1.65197376523336,0.185,0.063,2.51997882304263e-73,"5","Cftr"
"218",1.0082015315074e-75,1.39541662415648,0.266,0.114,2.02083914975343e-71,"5","Nell2"
"219",8.22183233188625e-74,1.63773030157795,0.179,0.062,1.64798407260328e-69,"5","Sntg2"
"220",1.53715691749463e-71,1.09007737626972,0.367,0.189,3.08107732542624e-67,"5","Pvt1"
"221",7.20726847949097e-71,1.40164515525352,0.231,0.094,1.44462489402917e-66,"5","Cxcl14"
"222",2.21731600639953e-67,1.50562291539095,0.238,0.101,4.44438820322722e-63,"5","Lrrk2"
"223",2.33301456413452e-66,1.10630926510075,0.324,0.161,4.67629439235123e-62,"5","Zfp423"
"224",2.59501919114877e-66,1.96328358912666,0.14,0.044,5.20145646673858e-62,"5","Fyb"
"225",5.53731081245596e-66,1.49925715038333,0.213,0.087,1.10989857924867e-61,"5","Prkd1"
"226",1.52659492518191e-60,1.08604378884545,0.331,0.173,3.05990686803462e-56,"5","Cnih3"
"227",1.73878232572996e-57,1.24244403863797,0.228,0.102,3.48521529369314e-53,"5","Htr4"
"228",8.01454700828629e-56,1.14079203730348,0.317,0.169,1.6064358023409e-51,"5","Ndst3"
"229",4.58539123529923e-52,2.14048082955571,0.079,0.02,9.19095819203377e-48,"5","Nts"
"230",4.16920673618333e-51,2.08138851793132,0.075,0.018,8.35675798200586e-47,"5","C230014O12Rik"
"231",3.37197147572809e-41,1.68526011161956,0.107,0.038,6.75877962594938e-37,"5","Plch1"
"232",4.35411940211863e-41,1.88345123853314,0.099,0.034,8.72739692960657e-37,"5","Kynu"
"233",7.26104658833144e-38,1.18139979332221,0.167,0.077,1.45540417816515e-33,"5","Adamts3"
"234",8.40540704645865e-38,1.51679107665392,0.122,0.049,1.68477978839217e-33,"5","Junb"
"235",1.96433067877182e-35,1.01698078304807,0.212,0.111,3.93730441253024e-31,"5","Tbc1d4"
"236",7.93925648005321e-35,1.42918889651592,0.099,0.037,1.59134456886187e-30,"5","Gucy1a3"
