"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.08096271160917e-120,1.6935764412496,0.36,0.151,6.33877268286472e-116,"5","Thsd7b"
3.9971209037918e-120,1.14009088382959,0.61,0.351,8.22367654746124e-116,"5","Rbms1"
4.00877199386192e-120,1.15350194599594,0.593,0.335,8.24764750017152e-116,"5","Rap1gap"
1.46615604178718e-119,1.61438997868638,0.352,0.144,3.01646944037295e-115,"5","Fstl1"
1.47542986239142e-116,1.17144541237303,0.602,0.36,3.03554939888412e-112,"5","Cdk14"
7.00509420811467e-111,2.58738357290404,0.112,0.021,1.44122808237751e-106,"5","Col18a1"
2.00489202162006e-106,1.89234929764933,0.217,0.069,4.12486484528111e-102,"5","Kcnh8"
1.29355821893575e-105,2.40424231320378,0.116,0.023,2.66136667963842e-101,"5","Lhx2"
2.81766552411278e-103,1.09385704888536,0.605,0.371,5.79706504930963e-99,"5","Hs6st2"
2.97431994565427e-98,2.13351800762574,0.176,0.051,6.1193658561891e-94,"5","Lama3"
3.11385102005695e-93,1.24948018951079,0.391,0.188,6.40643708866517e-89,"5","Tcerg1l"
1.26902093690903e-92,1.21461623793485,0.472,0.258,2.61088367559664e-88,"5","Gda"
5.83303106011763e-84,1.87206776253186,0.171,0.054,1.2000878103086e-79,"5","Atp10a"
5.40354945111043e-82,2.13668896447353,0.125,0.032,1.11172626407146e-77,"5","Dock5"
1.63138528546981e-78,1.48392990695531,0.283,0.124,3.35641208632558e-74,"5","Cacng5"
1.14571168787686e-73,1.07241522243278,0.493,0.299,2.35718722663786e-69,"5","Cdh7"
4.00405652200624e-67,1.18461633592535,0.3,0.143,8.23794588837564e-63,"5","Cotl1"
8.09352062709471e-67,2.91042528810211,0.048,0.006,1.66516093381847e-62,"5","Gm38101"
3.22857514618534e-66,1.19204877367258,0.376,0.206,6.64247050576171e-62,"5","Mob3b"
5.22004821904486e-66,1.04667001963808,0.313,0.153,1.07397272058629e-61,"5","Gpc3"
4.72999104423128e-61,2.35390967590892,0.082,0.019,9.73148357440144e-57,"5","4921539H07Rik"
7.56462917038181e-60,1.07025024699502,0.381,0.216,1.55634680551435e-55,"5","Ppt1"
0,1.3300589306995,0.974,0.865,0,"6","Grm7"
2.32709734077544e-276,1.54861024783615,0.792,0.419,4.7877700689114e-272,"6","Brinp3"
5.09062098983426e-268,1.55534305511319,0.879,0.594,1.0473443624485e-263,"6","Galntl6"
2.77809632489618e-227,1.63382938168107,0.659,0.314,5.71565537884141e-223,"6","Fstl5"
